Task_ID,Task_Description,Priority,Status,Assignee,Created_Date,Deadline,Days_to_Deadline,Tokens
156,Refactor legacy code - implement and test. Notes: refactor,Medium,In Progress,David,2025-08-26,2025-09-06,-49,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'refactor']"
157,Optimize database queries - implement and test. Notes: low risk,Low,In Progress,Alice,2025-09-20,2025-09-22,-33,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'low', 'risk']"
158,Set up CI/CD pipeline - implement and test. Notes: low risk,Medium,Completed,Alice,2025-10-09,2025-10-23,-2,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'low', 'risk']"
159,Design dashboard UI - implement and test. Notes: urgent,High,Completed,Alice,2025-10-18,2025-10-23,-2,"['design', 'dashboard', 'ui', 'implement', 'test', 'notes', 'urgent']"
160,Test payment flow - implement and test. Notes: refactor,Medium,In Progress,Charlie,2025-09-04,2025-09-13,-42,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'refactor']"
161,Set up CI/CD pipeline - implement and test. Notes: urgent,High,In Progress,Bob,2025-09-26,2025-10-08,-17,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'urgent']"
162,Refactor legacy code - implement and test. Notes: enhancement,Low,Pending,Charlie,2025-10-04,2025-10-10,-15,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'enhancement']"
163,Research new feature - implement and test. Notes: refactor,Medium,Pending,Charlie,2025-09-22,2025-10-17,-8,"['research', 'new', 'feature', 'implement', 'test', 'notes', 'refactor']"
164,Deploy microservice - implement and test. Notes: refactor,Low,Completed,Alice,2025-10-16,2025-11-12,18,"['deploy', 'microservice', 'implement', 'test', 'notes', 'refactor']"
165,Design dashboard UI - implement and test. Notes: urgent,Low,Pending,Bob,2025-10-19,2025-11-10,16,"['design', 'dashboard', 'ui', 'implement', 'test', 'notes', 'urgent']"
166,Write documentation - implement and test. Notes: enhancement,Low,In Progress,Alice,2025-10-06,2025-10-19,-6,"['write', 'documentation', 'implement', 'test', 'notes', 'enhancement']"
167,Research new feature - implement and test. Notes: refactor,Medium,In Progress,Emma,2025-09-06,2025-09-08,-47,"['research', 'new', 'feature', 'implement', 'test', 'notes', 'refactor']"
168,Write documentation - implement and test. Notes: bugfix,High,Pending,David,2025-09-12,2025-09-23,-32,"['write', 'documentation', 'implement', 'test', 'notes', 'bugfix']"
169,Set up CI/CD pipeline - implement and test. Notes: enhancement,Low,Pending,Emma,2025-10-09,2025-10-31,6,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'enhancement']"
170,Update API endpoint - implement and test. Notes: low risk,Low,Completed,Bob,2025-09-19,2025-10-09,-16,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'low', 'risk']"
171,Set up CI/CD pipeline - implement and test. Notes: low risk,Low,In Progress,David,2025-10-18,2025-10-22,-3,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'low', 'risk']"
172,Research new feature - implement and test. Notes: refactor,Low,Pending,Alice,2025-10-01,2025-10-08,-17,"['research', 'new', 'feature', 'implement', 'test', 'notes', 'refactor']"
173,Test payment flow - implement and test. Notes: urgent,Medium,Completed,Emma,2025-10-16,2025-10-19,-6,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'urgent']"
174,Deploy microservice - implement and test. Notes: low risk,Low,Completed,Emma,2025-10-21,2025-11-17,23,"['deploy', 'microservice', 'implement', 'test', 'notes', 'low', 'risk']"
175,Set up CI/CD pipeline - implement and test. Notes: refactor,Medium,Completed,Alice,2025-10-07,2025-10-25,0,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'refactor']"
176,Deploy microservice - implement and test. Notes: low risk,Medium,In Progress,Charlie,2025-09-28,2025-10-01,-24,"['deploy', 'microservice', 'implement', 'test', 'notes', 'low', 'risk']"
177,Optimize database queries - implement and test. Notes: urgent,Medium,Completed,Bob,2025-10-05,2025-10-09,-16,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'urgent']"
178,Test payment flow - implement and test. Notes: refactor,Medium,Pending,Emma,2025-09-12,2025-09-26,-29,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'refactor']"
179,Design dashboard UI - implement and test. Notes: low risk,Medium,Completed,Emma,2025-08-31,2025-09-18,-37,"['design', 'dashboard', 'ui', 'implement', 'test', 'notes', 'low', 'risk']"
180,Optimize database queries - implement and test. Notes: enhancement,Medium,Pending,Alice,2025-09-15,2025-10-15,-10,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'enhancement']"
181,Set up CI/CD pipeline - implement and test. Notes: urgent,Medium,Pending,Alice,2025-09-02,2025-09-06,-49,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'urgent']"
182,Refactor legacy code - implement and test. Notes: bugfix,Low,Completed,David,2025-09-03,2025-09-13,-42,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'bugfix']"
183,Refactor legacy code - implement and test. Notes: urgent,High,Pending,Emma,2025-09-13,2025-09-23,-32,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'urgent']"
184,Set up CI/CD pipeline - implement and test. Notes: urgent,Low,In Progress,Charlie,2025-09-14,2025-10-08,-17,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'urgent']"
185,Fix login bug - implement and test. Notes: bugfix,Medium,Completed,Bob,2025-09-13,2025-10-08,-17,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'bugfix']"
186,Deploy microservice - implement and test. Notes: refactor,Medium,Pending,Bob,2025-09-17,2025-09-27,-28,"['deploy', 'microservice', 'implement', 'test', 'notes', 'refactor']"
187,Refactor legacy code - implement and test. Notes: urgent,Medium,In Progress,Charlie,2025-09-22,2025-09-30,-25,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'urgent']"
188,Deploy microservice - implement and test. Notes: low risk,Medium,Completed,Emma,2025-09-06,2025-09-09,-46,"['deploy', 'microservice', 'implement', 'test', 'notes', 'low', 'risk']"
189,Fix login bug - implement and test. Notes: bugfix,High,Pending,Emma,2025-10-08,2025-10-20,-5,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'bugfix']"
190,Test payment flow - implement and test. Notes: low risk,Medium,Completed,Emma,2025-09-06,2025-09-16,-39,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'low', 'risk']"
191,Update API endpoint - implement and test. Notes: refactor,Low,Completed,Alice,2025-10-10,2025-10-28,3,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'refactor']"
192,Update API endpoint - implement and test. Notes: urgent,Low,Pending,Bob,2025-10-18,2025-10-29,4,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'urgent']"
193,Refactor legacy code - implement and test. Notes: refactor,Low,Completed,Alice,2025-10-05,2025-10-23,-2,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'refactor']"
194,Update API endpoint - implement and test. Notes: bugfix,Low,Pending,Alice,2025-08-28,2025-09-04,-51,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'bugfix']"
195,Fix login bug - implement and test. Notes: enhancement,Low,Pending,David,2025-10-01,2025-10-31,6,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'enhancement']"
196,Design dashboard UI - implement and test. Notes: bugfix,Medium,Pending,Bob,2025-09-18,2025-09-20,-35,"['design', 'dashboard', 'ui', 'implement', 'test', 'notes', 'bugfix']"
197,Fix login bug - implement and test. Notes: urgent,Medium,In Progress,Emma,2025-10-02,2025-10-13,-12,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'urgent']"
198,Test payment flow - implement and test. Notes: urgent,Low,In Progress,Emma,2025-09-05,2025-09-19,-36,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'urgent']"
199,Fix login bug - implement and test. Notes: refactor,Medium,In Progress,David,2025-09-08,2025-10-03,-22,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'refactor']"
200,Fix login bug - implement and test. Notes: enhancement,Low,Pending,Emma,2025-10-20,2025-10-25,0,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'enhancement']"
